@relation training_keyboard-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NextScore numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
99999,7,5,99999,-3,-4,14,East
99999,99999,3,5,-4,-5,13,East
99999,99999,1,3,-5,-6,12,East
99999,99999,0,2,-6,193,11,East
99999,2,0,2,193,392,10,East
99999,11,11,13,392,391,9,East
99999,99999,9,11,391,390,8,East
99999,99999,9,11,390,389,7,East
99999,99999,7,9,389,388,6,East
99999,6,8,8,388,387,5,South
8,6,8,99999,387,386,4,South
8,6,8,8,386,385,3,South
6,4,99999,6,385,384,2,South
6,4,99999,6,384,483,1,South
5,3,99999,5,483,482,8,South
4,2,2,4,482,481,9,East
99999,2,4,2,481,480,8,South
2,2,99999,0,480,479,9,West
2,2,2,0,479,678,10,West
3,3,3,1,678,677,11,West
99999,99999,29,30,0,-1,1,Stop
99999,99999,29,30,-1,98,1,East
28,99999,30,30,98,197,1,North
27,29,99999,99999,197,296,1,North
99999,28,26,99999,296,395,1,East
99999,99999,25,27,395,494,1,East
99999,99999,24,26,494,593,1,East
23,99999,99999,25,593,692,1,North
22,24,99999,99999,692,791,1,North
21,23,99999,99999,791,890,1,North
99999,22,20,22,890,989,1,East
99999,99999,19,21,989,1088,1,East
99999,99999,18,20,1088,1187,1,East
17,19,99999,19,1187,1286,1,North
16,18,99999,99999,1286,1385,1,North
15,17,99999,99999,1385,1484,1,North
14,16,16,14,1484,1583,1,North
13,15,99999,99999,1583,1682,1,North
12,14,99999,99999,1682,1781,1,North
11,13,99999,99999,1781,1880,1,North
12,12,12,10,1880,1879,1,West
99999,99999,11,9,1879,1878,2,West
8,10,10,99999,1878,1877,3,North
7,9,99999,99999,1877,1876,2,North
99999,8,99999,6,1876,1875,2,West
99999,99999,7,5,1875,1874,3,West
99999,99999,6,4,1874,1873,3,West
99999,99999,5,3,1873,1872,3,West
4,99999,4,2,1872,1871,3,West
99999,1,3,2,1871,1870,4,South
2,0,99999,1,1870,1869,5,West
2,0,1,99999,1869,1868,5,Stop
2,0,1,99999,1868,2067,5,South
2,99999,0,2,2067,2266,5,East
4,99999,2,3,2266,2265,5,East
99999,99999,1,3,2265,2264,4,East
99999,99999,0,2,2264,2463,4,East
99999,99999,99999,6,2463,2462,4,West
99999,99999,7,5,2462,2461,4,West
99999,99999,6,4,2461,2460,4,West
5,99999,5,3,2460,2459,5,West
4,99999,4,2,2459,2458,5,West
99999,99999,3,1,2458,2457,4,West
27,99999,29,29,98,197,1,North
25,27,99999,99999,197,296,1,North
99999,26,24,99999,296,395,1,East
99999,99999,22,24,395,494,1,East
99999,99999,20,22,494,593,1,East
18,99999,99999,20,593,692,1,North
16,18,99999,99999,692,791,1,North
15,17,99999,99999,791,890,1,North
99999,16,14,16,890,989,1,East
99999,99999,13,15,989,1088,1,East
99999,99999,13,15,1088,1187,1,East
13,15,99999,15,1187,1286,1,North
13,15,99999,99999,1286,1385,1,North
12,14,99999,99999,1385,1484,1,North
10,12,12,10,1484,1583,1,North
8,10,99999,99999,1583,1682,1,North
6,8,99999,99999,1682,1781,1,North
5,7,99999,99999,1781,1880,1,North
5,5,5,3,1880,1879,1,West
99999,99999,5,3,1879,1878,2,West
3,5,5,99999,1878,1877,3,North
2,4,99999,99999,1877,1876,2,North
99999,4,99999,2,1876,1875,2,West
99999,99999,2,0,1875,2074,3,West
99999,99999,8,6,2074,2073,3,West
99999,99999,8,6,2073,2072,3,West
6,99999,6,4,2072,2071,3,West
99999,3,5,3,2071,2070,4,South
5,3,99999,3,2070,2069,5,South
3,99999,3,1,2069,2268,5,West
4,99999,4,2,2268,2267,5,West
99999,99999,2,0,2267,2466,4,West
