@relation 'training_tutorial1_score5-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,6'

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}
@attribute NextScore numeric

@data
7,99999,5,7,388,4,East,383
7,5,7,7,387,3,South,382
6,4,6,99999,386,2,South,381
6,4,6,4,385,3,South,580
6,4,6,4,384,4,South,579
5,99999,5,3,383,5,West,578
4,99999,4,2,382,6,West,577
3,99999,3,1,381,7,West,576
15,99999,15,17,580,8,North,575
15,17,15,17,579,7,North,574
99999,15,13,15,578,6,East,573
99999,15,13,15,577,5,East,572
99999,15,13,15,576,4,East,571
11,13,11,13,575,3,North,570
10,12,10,99999,574,2,North,569
8,10,8,10,573,3,North,568
6,8,6,8,572,4,North,567
99999,8,6,8,571,5,East,566
99999,8,6,8,570,4,East,565
7,7,5,7,569,3,East,564
7,99999,5,7,568,4,East,563
99999,3,3,5,567,3,South,562
3,5,3,99999,566,4,North,561
99999,5,3,5,565,3,East,560
99999,99999,29,30,0,1,East,495
28,99999,30,30,99,1,North,594
27,29,99999,99999,198,1,North,693
99999,28,26,99999,297,1,East,792
99999,99999,25,27,396,1,East,891
99999,99999,24,26,495,1,East,990
23,99999,99999,25,594,1,North,1089
22,24,99999,99999,693,1,North,1188
21,23,99999,99999,792,1,North,1287
99999,22,20,22,891,1,East,1386
99999,99999,19,21,990,1,East,1485
99999,99999,18,20,1089,1,East,1584
17,19,99999,19,1188,1,North,1683
16,18,99999,99999,1287,1,North,1682
15,17,99999,99999,1386,1,North,1681
14,16,16,14,1485,1,West,1680
99999,99999,15,13,1584,1,West,1679
12,99999,14,14,1683,1,North,1678
11,13,99999,99999,1682,2,North,1677
10,12,99999,12,1681,2,North,1676
9,11,99999,99999,1680,2,North,1675
8,10,10,99999,1679,2,North,1674
7,9,99999,99999,1678,2,North,1673
99999,8,99999,6,1677,2,West,1672
99999,99999,7,5,1676,3,West,1671
99999,99999,6,4,1675,3,West,1870
99999,99999,5,3,1674,3,West,2069
4,99999,4,2,1673,3,West,2068
99999,1,3,2,1672,4,South,2067
2,0,99999,1,1671,5,South,2266
2,99999,2,0,1870,5,West,2265
4,99999,3,2,2069,5,West,2264
99999,99999,3,1,2068,4,West,2263
99999,99999,2,0,2067,4,West,2262
99999,99999,6,99999,2266,4,East,2261
99999,99999,5,7,2265,4,East,2260
99999,99999,29,30,0,1,East,495
28,99999,30,30,99,1,North,594
27,29,99999,99999,198,1,North,693
99999,29,27,99999,297,1,East,792
99999,99999,26,28,396,1,East,891
99999,99999,26,28,495,1,East,990
25,99999,99999,27,594,1,North,1089
23,25,99999,99999,693,1,North,1188
21,23,99999,99999,792,1,North,1287
99999,21,19,21,891,1,East,1386
99999,99999,19,21,990,1,East,1485
99999,99999,17,19,1089,1,East,1584
17,19,99999,19,1188,1,North,1683
16,18,99999,99999,1287,1,North,1682
15,17,99999,99999,1386,1,North,1681
15,17,17,15,1485,1,West,1680
99999,99999,15,13,1584,1,West,1679
13,99999,15,15,1683,1,North,1678
12,14,99999,99999,1682,2,North,1677
10,12,99999,12,1681,2,North,1676
9,11,99999,99999,1680,2,North,1675
7,9,9,99999,1679,2,North,1674
7,9,99999,99999,1678,2,North,1673
99999,8,99999,6,1677,2,West,1672
99999,99999,7,5,1676,3,West,1871
99999,99999,6,4,1675,3,West,1870
99999,99999,4,2,1674,3,West,2069
4,99999,4,2,1673,3,West,2068
99999,1,2,0,1672,4,West,2267
99999,1,1,3,1871,4,South,2266
