@relation training_keyboard_score3-weka.filters.unsupervised.attribute.Remove-R7

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NextScore numeric
@attribute lastMove {North,South,East,West,Stop}

@data
99999,0,2,2,4324,4521,East
99999,2,4,2,4423,4620,East
99999,6,6,99999,0,-3,Stop
99999,6,6,99999,-1,-4,Stop
99999,6,6,99999,-2,-5,Stop
99999,6,6,99999,-3,-6,East
99999,99999,5,7,-4,-7,East
99999,99999,4,6,-5,-8,East
99999,99999,3,5,-6,-9,East
99999,2,2,4,-7,190,East
99999,1,1,3,-8,189,East
99999,99999,0,2,-9,188,East
99999,99999,5,3,190,187,West
99999,99999,4,2,189,386,West
99999,1,3,3,188,385,South
2,0,99999,2,187,384,South
9,7,7,9,386,383,East
99999,6,6,8,385,382,East
99999,5,7,7,384,381,South
6,4,6,6,383,380,South
5,3,5,5,382,379,South
4,2,4,99999,381,578,South
3,3,3,1,380,577,West
99999,2,2,0,379,576,West
99999,10,8,10,578,575,East
99999,9,7,9,577,574,East
8,8,6,8,576,573,East
7,7,5,7,575,572,East
6,6,4,6,574,571,East
99999,5,3,5,573,570,East
99999,6,6,99999,0,-3,Stop
99999,6,6,99999,-1,-4,East
99999,99999,4,6,-2,-5,East
99999,99999,3,5,-3,-6,East
99999,99999,2,4,-4,193,East
99999,4,2,4,-5,192,East
99999,3,1,3,-6,191,East
99999,99999,7,5,193,190,East
99999,99999,7,7,192,189,West
99999,99999,7,5,191,188,West
99999,5,7,7,190,187,South
7,5,99999,7,189,186,South
6,4,4,6,188,185,South
5,3,3,5,187,184,East
3,3,1,3,186,183,East
1,3,1,3,185,182,East
1,3,3,1,184,181,East
3,5,99999,3,183,380,Stop
2,4,99999,2,182,379,West
1,3,3,1,181,378,West
8,6,8,8,380,377,North
99999,8,8,10,379,376,Stop
99999,9,9,11,378,375,East
99999,9,7,9,377,374,South
8,10,8,10,376,373,South
8,10,8,8,375,372,South
8,10,10,8,374,371,South
10,10,8,8,373,370,West
9,9,8,7,372,369,West
99999,7,7,5,371,368,West
99999,7,7,5,370,367,West
99999,5,5,3,369,566,West
99999,3,3,1,368,565,West
99999,2,2,0,367,564,West
99999,16,14,16,566,563,West
16,18,16,99999,565,562,East
99999,17,15,17,564,561,East
99999,15,13,15,563,560,East
99999,13,11,13,562,559,East
99999,13,11,13,561,558,East
99999,13,11,13,560,557,East
99999,11,9,11,559,556,East
9,11,9,11,558,655,East
8,10,8,10,557,654,East
6,8,8,8,556,653,North
6,8,99999,8,655,652,North
6,8,99999,8,654,651,North
99999,99999,29,30,0,197,Stop
99999,99999,29,30,-1,296,East
28,99999,30,30,98,395,North
27,29,99999,99999,197,494,North
99999,28,26,99999,296,593,East
99999,99999,25,27,395,692,East
99999,99999,24,26,494,791,East
23,99999,99999,25,593,890,North
22,24,99999,99999,692,989,North
21,23,99999,99999,791,1088,North
99999,22,20,22,890,1187,East
99999,99999,19,21,989,1286,East
99999,99999,18,20,1088,1385,East
17,19,99999,19,1187,1484,North
16,18,99999,99999,1286,1583,North
15,17,99999,99999,1385,1682,North
14,16,16,14,1484,1781,North
13,15,99999,99999,1583,1880,North
12,14,99999,99999,1682,1879,North
11,13,99999,99999,1781,1878,North
12,12,12,10,1880,1877,West
99999,99999,11,9,1879,1876,West
8,10,10,99999,1878,1875,North
7,9,99999,99999,1877,1874,North
99999,8,99999,6,1876,1873,West
99999,99999,7,5,1875,1872,West
99999,99999,6,4,1874,1871,West
99999,99999,5,3,1873,1870,West
4,99999,4,2,1872,2069,West
99999,1,3,2,1871,2268,South
2,0,99999,1,1870,2267,South
2,99999,2,0,2069,2266,West
4,99999,3,2,2268,2465,West
99999,99999,3,1,2267,2464,West
99999,99999,2,0,2266,2463,West
99999,99999,6,99999,2465,2462,East
99999,99999,5,7,2464,2461,East
99999,99999,4,6,2463,2460,East
5,99999,3,5,2462,2459,East
99999,99999,29,30,0,197,Stop
99999,99999,30,30,-1,296,East
28,99999,30,30,98,395,North
28,30,99999,99999,197,494,North
99999,29,27,99999,296,593,East
99999,99999,26,28,395,692,East
99999,99999,25,27,494,791,East
25,99999,99999,27,593,890,North
24,26,99999,99999,692,989,North
23,25,99999,99999,791,1088,North
99999,23,21,23,890,1187,East
99999,99999,19,21,989,1286,East
99999,99999,18,20,1088,1385,East
18,20,99999,20,1187,1484,North
16,18,99999,99999,1286,1583,North
15,17,99999,99999,1385,1682,North
14,16,16,14,1484,1781,North
13,15,99999,99999,1583,1880,North
13,15,99999,99999,1682,1879,North
12,14,99999,99999,1781,1878,North
14,14,14,12,1880,1877,West
99999,99999,12,10,1879,1876,West
8,10,10,99999,1878,1875,North
6,8,99999,99999,1877,1874,North
99999,6,99999,4,1876,1873,West
99999,99999,4,2,1875,1872,West
99999,99999,4,2,1874,1871,West
99999,99999,4,2,1873,1870,West
2,99999,3,1,1872,2169,North
0,2,99999,99999,1871,2168,North
0,2,99999,99999,1870,2167,North
99999,2,4,99999,2169,2166,South
4,2,99999,99999,2168,2165,South
