@relation training_tutorial1-weka.filters.unsupervised.attribute.Remove-R6

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
99999,99999,0,2,190,8,East
99999,99999,10,11,389,7,East
99999,99999,9,11,388,6,East
99999,8,8,10,387,5,South
9,7,7,99999,386,4,South
8,7,6,7,385,3,East
7,99999,5,7,384,4,East
99999,4,4,6,383,3,South
5,3,3,99999,382,4,South
4,99999,2,99999,381,3,East
3,99999,1,3,380,4,East
2,0,2,2,379,3,South
10,8,99999,99999,578,4,South
9,9,9,7,577,5,West
99999,8,8,6,576,4,West
99999,99999,7,5,575,3,West
99999,6,6,4,574,2,West
5,5,5,3,573,1,West
4,4,4,2,572,2,West
3,3,3,1,571,3,West
99999,6,6,99999,0,14,South
6,6,99999,99999,-1,13,North
99999,7,5,99999,-2,14,East
99999,99999,5,7,-3,13,East
99999,99999,4,6,-4,12,East
99999,99999,3,5,-5,11,East
99999,3,1,3,-6,10,East
99999,4,6,6,193,9,South
4,2,99999,4,192,8,South
4,2,2,4,191,7,South
4,4,2,4,190,6,East
2,4,2,4,189,5,North
99999,2,2,4,188,6,South
2,4,2,4,187,5,North
99999,2,2,4,186,6,South
4,4,2,4,185,5,East
2,2,0,2,184,4,East
10,8,8,8,383,3,South
9,7,7,8,382,2,South
9,7,7,7,381,1,East
8,6,99999,8,480,8,South
6,6,4,6,479,9,East
99999,6,4,6,478,8,East
99999,99999,4,6,477,7,East
99999,4,4,6,476,6,South
6,4,4,99999,475,7,South
4,99999,4,99999,474,8,North
6,4,4,99999,473,7,South
4,99999,2,99999,472,8,East
2,99999,2,4,471,7,North
4,2,2,4,470,6,South
15,99999,17,15,669,7,North
15,17,17,15,668,6,North
15,15,15,13,667,5,West
99999,15,15,13,666,6,West
99999,99999,14,12,665,7,West
99999,10,12,10,664,8,South
10,8,99999,8,663,9,South
10,99999,99999,8,662,10,West
10,99999,10,8,661,11,West
8,99999,8,6,660,12,West
7,99999,7,5,659,13,West
5,99999,5,3,658,14,West
3,99999,3,1,657,15,West
1,99999,3,1,656,16,North
1,3,3,1,655,15,North
99999,99999,29,30,0,1,East
28,99999,30,30,99,1,North
27,29,99999,99999,198,1,North
99999,28,26,99999,297,1,East
99999,99999,25,27,396,1,East
99999,99999,24,26,495,1,East
23,99999,99999,25,594,1,North
22,24,99999,99999,693,1,North
21,23,99999,99999,792,1,North
99999,22,20,22,891,1,East
99999,99999,19,21,990,1,East
99999,99999,18,20,1089,1,East
17,19,99999,19,1188,1,North
16,18,99999,99999,1287,1,North
15,17,99999,99999,1386,1,North
14,16,16,14,1485,1,West
99999,99999,15,13,1584,1,West
12,99999,14,14,1683,1,North
11,13,99999,99999,1682,2,North
10,12,99999,12,1681,2,North
9,11,99999,99999,1680,2,North
8,10,10,99999,1679,2,North
7,9,99999,99999,1678,2,North
99999,8,99999,6,1677,2,West
99999,99999,7,5,1676,3,West
99999,99999,6,4,1675,3,West
99999,99999,5,3,1674,3,West
4,99999,4,2,1673,3,West
99999,1,3,2,1672,4,South
2,0,99999,1,1671,5,South
2,99999,2,0,1870,5,West
4,99999,3,2,2069,5,West
99999,99999,3,1,2068,4,West
99999,99999,2,0,2067,4,West
99999,99999,6,99999,2266,4,East
99999,99999,5,7,2265,4,East
99999,99999,4,6,2264,4,East
5,99999,3,5,2263,5,East
4,99999,2,4,2262,5,East
99999,99999,1,3,2261,4,East
99999,99999,29,30,0,1,East
28,99999,30,30,99,1,North
28,30,99999,99999,198,1,North
99999,29,27,99999,297,1,East
99999,99999,27,29,396,1,East
99999,99999,27,29,495,1,East
25,99999,99999,27,594,1,North
24,26,99999,99999,693,1,North
22,24,99999,99999,792,1,North
99999,23,21,23,891,1,East
99999,99999,19,21,990,1,East
99999,99999,19,21,1089,1,East
17,19,99999,19,1188,1,North
15,17,99999,99999,1287,1,North
14,16,99999,99999,1386,1,North
13,15,15,13,1485,1,West
99999,99999,14,12,1584,1,West
10,99999,12,12,1683,1,North
9,11,99999,99999,1682,2,North
8,10,99999,10,1681,2,North
7,9,99999,99999,1680,2,North
6,8,8,99999,1679,2,North
5,7,99999,99999,1678,2,North
99999,7,99999,5,1677,2,West
99999,99999,5,3,1676,3,West
99999,99999,5,3,1675,3,West
99999,99999,3,1,1674,3,West
3,99999,3,1,1673,3,West
99999,1,3,1,1672,4,South
2,0,99999,2,1871,5,South
3,99999,1,2,2070,5,East
99999,99999,5,3,2269,4,West
5,99999,5,3,2268,5,West
3,99999,3,1,2267,5,West
99999,99999,3,1,2266,4,West
