@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R6

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
2,99999,0,2,2067,5,East
4,99999,2,3,2266,5,East
99999,99999,1,3,2265,4,East
99999,99999,0,2,2264,4,East
99999,99999,99999,6,2463,4,West
99999,99999,7,5,2462,4,West
99999,99999,6,4,2461,4,West
5,99999,5,3,2460,5,West
4,99999,4,2,2459,5,West
99999,99999,3,1,2458,4,West
99999,99999,29,30,0,1,Stop
99999,99999,29,30,-1,1,East
27,99999,29,29,98,1,North
25,27,99999,99999,197,1,North
99999,26,24,99999,296,1,East
99999,99999,22,24,395,1,East
99999,99999,20,22,494,1,East
18,99999,99999,20,593,1,North
16,18,99999,99999,692,1,North
15,17,99999,99999,791,1,North
99999,16,14,16,890,1,East
99999,99999,13,15,989,1,East
99999,99999,13,15,1088,1,East
13,15,99999,15,1187,1,North
13,15,99999,99999,1286,1,North
12,14,99999,99999,1385,1,North
10,12,12,10,1484,1,North
8,10,99999,99999,1583,1,North
6,8,99999,99999,1682,1,North
5,7,99999,99999,1781,1,North
5,5,5,3,1880,1,West
99999,99999,5,3,1879,2,West
3,5,5,99999,1878,3,North
2,4,99999,99999,1877,2,North
99999,4,99999,2,1876,2,West
99999,99999,2,0,1875,3,West
99999,99999,8,6,2074,3,West
99999,99999,8,6,2073,3,West
6,99999,6,4,2072,3,West
99999,3,5,3,2071,4,South
5,3,99999,3,2070,5,South
3,99999,3,1,2069,5,West
4,99999,4,2,2268,5,West
99999,99999,2,0,2267,4,West
