@RELATION 'training_newmap'

@ATTRIBUTE pacMovesN {0,1}
@ATTRIBUTE pacMovesS {0,1}
@ATTRIBUTE pacMovesE {0,1}
@ATTRIBUTE pacMovesW {0,1}
@ATTRIBUTE pacMovesSTOP {0,1}
@ATTRIBUTE distNearestGhostX NUMERIC
@ATTRIBUTE distNearestGhostY NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
0,1,1,1,1,6,1,192,191,99999,West
0,1,1,1,1,5,0,191,190,99999,West
0,1,1,0,1,4,0,190,189,99999,South
1,1,1,0,1,4,0,189,188,99999,South
1,1,1,0,1,5,-1,188,187,99999,South
1,0,1,1,1,5,-2,187,186,99999,West
0,0,1,1,1,4,-1,186,185,99999,West
1,0,1,1,1,3,-2,185,184,99999,West
1,0,1,1,1,3,-2,184,183,99999,West
1,0,1,1,1,2,-2,183,182,99999,West
1,0,1,1,1,1,-3,182,181,99999,West
1,0,1,1,1,0,-3,181,180,99999,North
1,1,1,1,1,1,-2,180,179,99999,West
1,1,1,1,1,0,-3,179,178,99999,North
1,1,1,1,1,1,-2,178,177,99999,West
1,1,1,1,1,0,-1,177,376,99999,North
1,1,1,1,1,-7,-8,376,375,99999,East
1,1,1,1,1,-5,-8,375,374,99999,North
1,1,1,1,1,-6,-7,374,373,99999,North
1,1,1,1,1,-7,-6,373,372,99999,North
1,1,1,1,1,-6,-5,372,371,99999,North
1,1,1,1,1,-6,-3,371,370,99999,North
1,1,0,1,1,-6,-1,370,369,99999,North
1,1,0,1,1,-5,0,369,368,99999,North
1,1,0,1,1,-5,0,368,367,99999,North
0,1,1,1,1,-6,0,367,366,99999,East
0,0,1,1,1,-5,0,366,365,99999,East
0,0,1,1,1,-3,0,365,364,99999,East
0,0,1,1,1,-2,0,364,363,99999,East
0,0,1,1,1,-1,1,363,362,99999,East
0,1,1,1,1,-1,1,362,361,99999,East
0,1,1,1,1,1,1,361,560,99999,West
0,1,1,1,1,-2,2,560,559,99999,East
0,1,1,1,1,0,2,559,558,99999,South
1,1,1,1,1,0,1,558,-1,99999,East
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,1,1,1,1,0,4,-1,-2,99999,East
0,1,1,1,1,1,4,-2,-3,99999,South
1,1,1,1,1,1,3,-3,-4,99999,South
1,1,1,1,1,0,2,-4,-5,99999,South
1,1,1,0,1,0,1,-5,194,99999,South
1,1,1,1,1,8,3,194,193,99999,West
0,1,1,1,1,7,3,193,192,99999,West
0,1,1,1,1,7,3,192,191,99999,West
0,1,1,1,1,6,3,191,190,99999,West
0,1,1,0,1,5,2,190,189,99999,South
1,1,1,0,1,6,1,189,188,99999,South
1,1,1,0,1,6,-1,188,187,99999,South
1,0,1,1,1,6,-2,187,186,99999,West
0,0,1,1,1,4,-2,186,185,99999,West
1,0,1,1,1,3,-3,185,184,99999,West
1,0,1,1,1,3,-3,184,183,99999,West
1,0,1,1,1,1,-3,183,182,99999,West
1,0,1,1,1,-1,-3,182,181,99999,East
1,0,1,1,1,0,-2,181,180,99999,North
1,1,1,1,1,1,-1,180,179,99999,West
1,1,1,1,1,0,-1,179,378,99999,North
1,1,1,1,1,-4,-7,378,377,99999,West
1,1,1,1,1,-4,-7,377,376,99999,West
1,1,1,1,1,-4,-7,376,375,99999,North
1,1,1,1,1,-5,-6,375,374,99999,North
1,1,1,1,1,-5,-5,374,373,99999,North
1,1,1,1,1,-5,-4,373,372,99999,North
1,1,1,1,1,-5,-4,372,371,99999,North
1,1,1,1,1,-6,-3,371,370,99999,North
1,1,0,1,1,-6,-3,370,369,99999,North
1,1,0,1,1,-6,-2,369,368,99999,North
1,1,0,1,1,-5,-1,368,367,99999,North
0,1,1,1,1,-5,0,367,366,99999,East
0,0,1,1,1,-5,0,366,365,99999,East
0,0,1,1,1,-4,1,365,364,99999,East
0,0,1,1,1,-3,2,364,363,99999,East
