@RELATION 'filter_data_pacman_manual1'

@ATTRIBUTE pacPosX NUMERIC
@ATTRIBUTE pacPosY NUMERIC
@ATTRIBUTE pacMovesN {0,1}
@ATTRIBUTE pacMovesS {0,1}
@ATTRIBUTE pacMovesE {0,1}
@ATTRIBUTE pacMovesW {0,1}
@ATTRIBUTE pacMovesSTOP {0,1}
@ATTRIBUTE ghostPosX1 NUMERIC
@ATTRIBUTE ghostPosY1 NUMERIC
@ATTRIBUTE ghostPosX2 NUMERIC
@ATTRIBUTE ghostPosY2 NUMERIC
@ATTRIBUTE ghostPosX3 NUMERIC
@ATTRIBUTE ghostPosY3 NUMERIC
@ATTRIBUTE ghostPosX4 NUMERIC
@ATTRIBUTE ghostPosY4 NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
15,7,1,0,1,1,1,3,4,3,1,9,6,7,1,West
14,7,1,1,1,1,1,3,4,3,1,9,5,7,1,West
14,8,1,1,1,1,1,4,4,3,1,9,5,7,1,North
14,9,1,1,1,1,1,4,3,3,1,9,5,7,1,North
13,9,0,1,1,1,1,4,3,3,1,9,4,7,1,West
12,9,0,1,1,1,1,4,3,3,1,8,4,7,1,West
11,9,1,0,1,1,1,4,4,3,1,7,4,7,1,West
10,9,1,1,1,1,1,3,4,3,1,7,5,7,1,West
9,9,0,1,1,1,1,3,3,3,1,7,5,7,1,West
9,8,1,1,1,1,1,4,3,3,1,7,5,7,1,South
9,7,1,1,1,1,1,3,3,3,1,7,4,7,1,South
9,6,1,1,1,1,1,3,3,3,1,6,4,7,1,South
9,5,1,1,1,1,1,2,3,3,1,6,5,7,1,South
9,4,1,1,1,1,1,2,4,3,1,7,5,7,1,South
8,4,1,1,1,1,1,3,4,3,1,7,4,7,1,West
7,4,1,1,1,1,1,2,4,3,1,5,1,7,1,West
6,4,1,1,1,1,1,3,4,3,1,5,1,7,1,West
5,4,1,1,1,1,1,3,5,3,1,5,1,7,1,West
4,4,1,1,1,1,1,3,4,3,1,5,1,7,1,West
1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,Stop
1,11,0,1,1,0,1,6,4,6,9,9,11,14,6,Stop
1,11,0,1,1,0,1,7,4,6,8,8,11,14,6,Stop
1,11,0,1,1,0,1,7,5,6,8,9,11,14,5,Stop
2,11,0,0,1,1,1,7,5,6,8,10,11,14,4,East
3,11,0,0,1,1,1,7,5,6,9,10,10,13,4,East
4,11,0,0,1,1,1,8,5,7,9,10,10,13,4,East
5,11,0,1,1,1,1,8,4,7,9,10,10,14,4,East
6,11,0,1,1,1,1,8,3,6,9,10,9,14,3,East
7,11,0,0,1,1,1,9,3,6,10,10,10,15,3,East
8,11,0,0,1,1,1,8,3,6,11,11,10,16,3,East
9,11,0,0,1,1,1,7,3,7,11,11,11,16,3,East
10,11,0,1,1,1,1,7,3,8,11,11,11,16,4,East
10,10,1,1,1,0,1,8,3,9,11,12,11,16,5,South
10,9,1,1,1,1,1,9,3,8,11,11,11,16,4,South
10,8,1,1,0,1,1,9,4,8,11,10,11,17,4,South
10,7,1,1,0,1,1,10,4,7,11,9,11,17,5,South
10,6,1,1,0,1,1,11,4,8,11,8,11,17,4,South
10,7,1,1,0,1,1,11,4,8,11,8,11,16,4,North
10,8,1,1,0,1,1,10,4,7,11,8,11,16,3,North
10,9,1,1,1,1,1,10,5,7,11,8,11,15,3,North
10,10,1,1,1,0,1,10,4,8,11,9,11,14,3,North
10,11,0,1,1,1,1,10,5,9,11,8,11,13,3,North
9,11,0,0,1,1,1,9,5,3,1,7,11,13,3,West
8,11,0,0,1,1,1,9,6,3,1,7,11,13,4,West
7,11,0,0,1,1,1,8,6,3,1,5,1,13,3,West
6,11,0,1,1,1,1,9,6,3,1,5,1,13,4,West
5,11,0,1,1,1,1,9,7,3,1,5,1,13,3,West
5,10,1,1,1,0,1,9,8,3,1,5,1,13,3,South
5,9,1,1,1,1,1,9,8,3,1,5,1,13,4,South
5,8,1,1,1,1,1,8,8,3,1,5,1,13,3,South
6,8,1,1,1,1,1,7,8,3,1,5,1,14,3,East
7,8,1,1,1,1,1,1,1,3,1,5,1,15,3,East
8,8,1,1,1,1,1,1,1,3,1,5,1,16,3,East
9,8,1,1,1,1,1,1,1,3,1,5,1,15,3,East
9,7,1,1,1,1,1,1,1,3,1,5,1,16,3,South
9,6,1,1,1,1,1,1,1,3,1,5,1,16,4,South
9,5,1,1,1,1,1,1,1,3,1,5,1,15,4,South
10,5,1,1,1,1,1,1,1,3,1,5,1,16,4,East
11,5,0,1,1,1,1,1,1,3,1,5,1,17,4,East
12,5,0,0,1,1,1,1,1,3,1,5,1,16,4,East
13,5,0,1,1,1,1,1,1,3,1,5,1,16,4,East
14,5,1,1,1,1,1,1,1,3,1,5,1,15,4,East
15,5,0,1,1,1,1,1,1,3,1,5,1,16,4,East
1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,Stop
1,11,0,1,1,0,1,7,5,7,9,7,11,14,6,Stop
1,11,0,1,1,0,1,8,5,8,9,7,11,14,7,Stop
2,11,0,0,1,1,1,8,4,8,8,7,11,13,7,East
3,11,0,0,1,1,1,9,4,8,9,7,11,13,8,East
4,11,0,0,1,1,1,9,3,8,8,6,11,12,8,East
5,11,0,1,1,1,1,8,3,8,9,5,1,12,9,East
6,11,0,1,1,1,1,8,4,8,8,5,1,11,9,East
7,11,0,0,1,1,1,9,4,8,8,5,1,10,9,East
8,11,0,0,1,1,1,10,4,9,8,5,1,9,9,East
9,11,0,0,1,1,1,10,5,9,9,5,1,9,8,East
10,11,0,1,1,1,1,10,4,9,9,5,1,9,9,,East
10,10,1,1,1,0,1,10,3,9,8,5,1,9,9,South
10,9,1,1,1,1,1,10,3,9,7,5,1,7,1,South
9,9,0,1,1,1,1,10,3,9,7,5,1,7,1,West
8,9,0,1,1,1,1,9,3,10,7,5,1,7,1,West
7,9,0,1,1,1,1,9,3,10,8,5,1,7,1,West
7,8,1,1,1,1,1,10,3,10,7,5,1,7,1,South
8,8,1,1,1,1,1,11,3,9,7,5,1,7,1,East
9,8,1,1,1,1,1,11,3,9,6,5,1,7,1,East
10,8,1,1,0,1,1,10,3,9,5,5,1,7,1,East
10,7,1,1,0,1,1,9,3,9,6,5,1,7,1,South
10,6,1,1,0,1,1,8,3,9,5,5,1,7,1,South
10,5,1,1,1,1,1,8,4,9,5,5,1,7,1,South
10,4,1,1,1,1,1,7,4,10,5,5,1,7,1,South
9,4,1,1,1,1,1,6,4,11,5,5,1,7,1,West
8,4,1,1,1,1,1,6,4,11,4,5,1,7,1,West
7,4,1,1,1,1,1,1,1,11,3,5,1,7,1,West
6,4,1,1,1,1,1,1,1,11,4,5,1,7,1,West
7,4,1,1,1,1,1,1,1,10,4,5,1,7,1,East
8,4,1,1,1,1,1,1,1,10,5,5,1,7,1,East
9,4,1,1,1,1,1,1,1,9,5,5,1,7,1,East
