@RELATION 'training_tutorial1_score5'

@ATTRIBUTE distNorth NUMERIC
@ATTRIBUTE distSouth NUMERIC
@ATTRIBUTE distEast NUMERIC
@ATTRIBUTE distWest NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
99999,99999,2,0,2067,2262,4,West
99999,99999,6,99999,2266,2261,4,East
99999,99999,5,7,2265,2260,4,East
99999,99999,29,30,0,495,1,East
28,99999,30,30,99,594,1,North
27,29,99999,99999,198,693,1,North
99999,29,27,99999,297,792,1,East
99999,99999,26,28,396,891,1,East
99999,99999,26,28,495,990,1,East
25,99999,99999,27,594,1089,1,North
23,25,99999,99999,693,1188,1,North
21,23,99999,99999,792,1287,1,North
99999,21,19,21,891,1386,1,East
99999,99999,19,21,990,1485,1,East
99999,99999,17,19,1089,1584,1,East
17,19,99999,19,1188,1683,1,North
16,18,99999,99999,1287,1682,1,North
15,17,99999,99999,1386,1681,1,North
15,17,17,15,1485,1680,1,West
99999,99999,15,13,1584,1679,1,West
13,99999,15,15,1683,1678,1,North
12,14,99999,99999,1682,1677,2,North
10,12,99999,12,1681,1676,2,North
9,11,99999,99999,1680,1675,2,North
7,9,9,99999,1679,1674,2,North
7,9,99999,99999,1678,1673,2,North
99999,8,99999,6,1677,1672,2,West
99999,99999,7,5,1676,1871,3,West
99999,99999,6,4,1675,1870,3,West
99999,99999,4,2,1674,2069,3,West
4,99999,4,2,1673,2068,3,West
99999,1,2,0,1672,2267,4,West
99999,1,1,3,1871,2266,4,South
