@RELATION 'training_keyboard'

@ATTRIBUTE pacMovesN {0,1}
@ATTRIBUTE pacMovesS {0,1}
@ATTRIBUTE pacMovesE {0,1}
@ATTRIBUTE pacMovesW {0,1}
@ATTRIBUTE pacMovesSTOP {0,1}
@ATTRIBUTE distNearestGhostX NUMERIC
@ATTRIBUTE distNearestGhostY NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
1,0,1,1,1,-12,-6,1877,1976,1,East
1,0,1,1,1,-12,-6,1976,2075,1,East
1,0,1,1,1,-11,-5,2075,2074,2,East
1,0,1,1,1,-9,-5,2074,2173,1,East
1,0,1,1,1,-9,-5,2173,2272,1,North
1,1,1,1,1,-9,-5,2272,2371,1,East
1,1,1,1,1,-7,-5,2371,2470,1,East
1,1,1,1,1,-6,-6,2470,2469,1,East
1,1,1,1,1,-5,-6,2469,2468,2,East
1,1,1,1,1,-4,-7,2468,2567,1,East
1,1,1,1,1,-3,-8,2567,2666,1,East
1,1,1,1,1,-3,-8,2666,2765,1,East
1,1,1,1,1,-3,-8,2765,2864,1,North
1,1,1,1,1,-2,-7,2864,2963,1,North
1,1,1,1,1,-2,-6,2963,3062,1,North
1,1,1,1,1,-2,-4,3062,3161,1,North
1,1,1,1,1,-3,-3,3161,3260,1,North
1,1,1,1,1,-3,-3,3260,3359,1,North
1,1,1,1,1,-3,-2,3359,3458,1,North
1,1,1,1,1,-3,0,3458,3557,1,North
0,1,1,1,1,-2,1,3557,3656,1,East
0,1,1,1,1,0,1,3656,3655,2,East
0,1,1,1,1,2,1,3655,3754,1,East
0,1,1,1,1,-1,1,3754,3853,1,South
1,1,1,1,1,-1,1,3853,3952,1,South
1,1,1,1,1,-2,0,3952,4251,1,East
1,1,1,1,1,5,-1,4251,4350,1,East
1,1,1,1,1,7,-1,4350,4349,1,East
1,1,0,1,1,8,-1,4349,4348,2,West
1,1,1,1,1,7,0,4348,4347,1,West
1,1,1,1,1,6,-1,4347,4346,1,West
1,1,1,1,1,5,0,4346,4445,1,South
1,1,1,1,1,6,-1,4445,4544,1,West
1,1,1,1,1,5,0,4544,4643,1,West
1,1,1,1,1,4,-1,4643,4642,3,West
1,1,1,1,1,4,-1,4642,4641,2,North
1,1,1,1,1,4,0,4641,4740,1,West
1,1,1,1,1,4,0,4740,4839,1,West
1,1,1,1,1,3,-1,4839,4838,1,West
1,1,1,1,1,2,-1,4838,4837,2,West
1,1,1,1,1,2,-1,4837,4936,1,West
1,1,1,1,1,0,-1,4936,5035,1,West
1,1,1,1,1,-2,-1,5035,5134,1,North
1,1,1,1,1,-1,0,5134,5133,1,West
1,1,1,1,1,-2,1,5133,5132,2,East
0,1,1,0,1,-5,2,0,-1,14,Stop
0,1,1,0,1,-5,2,-1,-2,14,Stop
0,1,1,0,1,-5,2,-2,-3,14,Stop
0,1,1,0,1,-5,2,-3,-4,14,Stop
0,1,1,0,1,-5,2,-4,-5,14,Stop
0,1,1,0,1,-5,2,-5,-6,14,Stop
0,1,1,0,1,-5,2,-6,-7,14,Stop
0,1,1,0,1,-5,2,-7,-8,14,Stop
0,1,1,0,1,-5,2,-8,-9,14,Stop
0,1,1,0,1,-5,2,-9,-10,14,Stop
0,1,1,0,1,-5,2,-10,-11,14,East
0,0,1,1,1,-4,2,-11,-12,13,East
0,0,1,1,1,-3,2,-12,-13,12,East
0,0,1,1,1,-2,2,-13,-14,11,East
0,1,1,1,1,-1,2,-14,-15,10,East
0,1,1,1,1,0,2,-15,-16,9,East
0,0,1,1,1,-1,0,-16,183,8,East
0,0,1,1,1,2,2,183,182,7,West
0,0,1,1,1,1,2,182,181,8,West
0,1,1,1,1,0,2,181,180,9,South
1,1,0,1,1,0,1,180,379,8,South
1,1,1,1,1,0,4,379,378,7,East
0,1,1,1,1,1,4,378,377,6,East
0,1,1,1,1,2,4,377,376,5,East
0,1,1,1,1,3,4,376,375,4,East
1,1,1,1,1,-4,3,375,374,3,South
1,1,0,1,1,4,3,374,373,2,South
1,1,0,1,1,4,2,373,472,1,South
1,1,0,1,1,4,1,472,471,8,West
