@relation training_tutorial1-weka.filters.unsupervised.attribute.Remove-R9

@attribute pacMovesN {0,1}
@attribute pacMovesS {0,1}
@attribute pacMovesE {0,1}
@attribute pacMovesW {0,1}
@attribute pacMovesSTOP {0,1}
@attribute distNearestGhostX numeric
@attribute distNearestGhostY numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
1,1,1,0,1,-5,0,-2,12,East
0,1,1,1,1,-4,0,-3,11,East
0,1,1,1,1,-3,0,-4,10,East
0,1,1,1,1,-2,0,-5,9,East
1,1,1,1,1,-1,0,-6,8,East
1,1,1,1,1,-2,-2,193,7,North
1,1,0,1,1,-2,-1,192,8,North
0,1,1,1,1,-2,0,191,9,East
0,0,1,1,1,-1,0,190,8,East
0,0,1,1,1,-6,5,389,7,East
0,0,1,1,1,-5,5,388,6,East
0,1,1,1,1,-4,5,387,5,South
1,1,1,0,1,-4,4,386,4,South
1,1,1,1,1,-4,3,385,3,East
1,0,1,1,1,-3,3,384,4,East
0,1,1,1,1,-2,3,383,3,East
0,1,1,1,1,-1,3,382,2,East
1,1,1,1,1,0,3,381,1,South
1,1,1,1,1,0,2,380,2,South
1,1,1,1,1,0,1,379,3,South
1,1,0,0,1,8,1,578,4,South
1,1,1,1,1,8,0,577,5,West
0,1,1,1,1,7,0,576,4,West
0,0,1,1,1,6,0,575,3,West
0,1,1,1,1,5,0,574,2,West
1,1,1,1,1,4,0,573,1,West
1,1,1,1,1,3,0,572,2,West
1,1,1,1,1,2,0,571,3,West
0,1,1,0,1,-5,2,0,14,South
1,1,0,0,1,-6,1,-1,13,South
1,1,1,0,1,-6,0,-2,12,East
0,1,1,1,1,-4,0,-3,11,East
0,1,1,1,1,-3,0,-4,10,East
0,1,1,1,1,-3,0,-5,9,East
1,1,1,1,1,-1,0,-6,8,East
1,1,1,1,1,-1,-2,193,7,North
1,1,0,1,1,-2,-1,192,8,North
0,1,1,1,1,-1,0,191,9,East
0,0,1,1,1,0,6,390,8,West
0,1,1,1,1,0,6,389,9,South
1,1,0,1,1,-1,5,388,8,South
1,1,1,1,1,-1,4,387,7,South
1,1,1,1,1,-1,3,386,6,South
1,0,1,1,1,-2,2,385,5,East
1,0,1,1,1,-2,2,384,4,East
1,1,1,1,1,-2,2,383,3,South
1,1,1,0,1,-2,1,382,2,East
1,1,1,1,1,-1,1,381,1,East
1,1,0,1,1,1,1,480,8,West
1,1,1,1,1,-9,3,679,9,East
1,1,0,1,1,-7,3,678,8,South
1,1,1,1,1,-6,2,677,9,East
