@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R21

@attribute pacPosX numeric
@attribute pacPosY numeric
@attribute pacMovesN {0,1}
@attribute pacMovesS {0,1}
@attribute pacMovesE {0,1}
@attribute pacMovesW {0,1}
@attribute pacMovesSTOP {0,1}
@attribute ghostPosX1 numeric
@attribute ghostPosY1 numeric
@attribute ghostPosX2 numeric
@attribute ghostPosY2 numeric
@attribute ghostPosX3 numeric
@attribute ghostPosY3 numeric
@attribute ghostPosX4 numeric
@attribute ghostPosY4 numeric
@attribute LivingGhost1 {0,1}
@attribute LivingGhost2 {0,1}
@attribute LivingGhost3 {0,1}
@attribute LivingGhost4 {0,1}
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
18,5,0,1,0,1,1,5,5,10,4,13,3,7,1,1,1,1,0,1385,1,West
17,5,0,0,1,1,1,5,5,10,4,13,3,8,1,1,1,1,0,1384,2,West
16,5,0,0,1,1,1,4,5,10,3,13,2,8,1,1,1,1,0,1383,2,West
15,5,0,1,1,1,1,5,5,10,4,13,1,8,1,1,1,1,0,1382,1,West
14,5,0,1,1,1,1,5,5,10,5,13,1,9,1,1,1,1,0,1481,1,West
13,5,0,1,1,0,1,6,5,11,5,14,1,10,1,1,1,1,0,1580,1,South
13,4,1,1,1,0,1,6,5,11,5,13,1,9,1,1,1,1,0,1679,1,South
13,3,1,1,0,1,1,6,4,11,5,13,1,9,1,1,1,1,0,1778,1,South
13,2,1,1,0,0,1,5,4,10,5,14,1,10,1,1,1,1,0,1877,2,South
13,1,1,0,1,1,1,6,4,10,4,14,1,11,1,1,1,1,0,1876,3,North
13,2,1,1,0,0,1,6,4,10,4,15,1,10,1,1,1,1,0,1875,2,North
13,3,1,1,0,1,1,6,3,9,4,15,2,9,1,1,1,1,0,1874,1,North
13,4,1,1,1,0,1,6,3,9,5,15,2,10,1,1,1,1,0,1873,1,South
13,3,1,1,0,1,1,6,3,9,5,15,1,11,1,1,1,1,0,1872,1,South
13,2,1,1,0,0,1,6,4,8,5,16,1,11,1,1,1,1,0,1871,2,South
13,1,1,0,1,1,1,6,3,8,5,17,1,10,1,1,1,1,0,1870,3,East
14,1,0,0,1,1,1,7,3,9,5,16,1,11,1,1,1,1,0,1869,2,East
15,1,1,0,1,1,1,7,3,9,5,5,1,12,1,1,1,0,0,2068,1,East
16,1,0,0,1,1,1,8,3,9,4,4,1,13,1,1,1,0,0,2167,1,East
17,1,0,0,1,1,1,7,3,9,5,5,1,12,1,1,1,0,0,2266,1,West
16,1,0,0,1,1,1,6,3,9,4,5,1,13,1,1,1,0,0,2265,2,West
15,1,1,0,1,1,1,6,2,9,3,4,1,13,2,1,1,0,0,2264,3,North
15,2,1,1,0,0,1,6,1,10,3,4,1,13,3,1,1,0,0,2263,3,North
15,3,1,1,1,0,1,5,1,10,4,3,1,12,3,1,1,0,0,2262,2,North
15,4,1,1,0,1,1,5,1,10,5,3,1,12,3,1,1,0,0,2261,1,North
15,5,0,1,1,1,1,4,1,9,5,2,1,13,3,1,1,0,0,2260,2,West
14,5,0,1,1,1,1,3,1,8,5,3,1,13,4,1,1,0,0,2259,1,West
13,5,0,1,1,0,1,3,1,9,5,3,1,7,1,1,1,0,0,2458,2,West
13,5,0,1,1,0,1,4,1,10,5,3,1,8,1,1,1,0,0,2457,2,South
13,4,1,1,1,0,1,3,1,9,5,3,1,7,1,1,1,0,0,2456,1,South
13,3,1,1,0,1,1,4,1,10,5,2,1,8,1,1,1,0,0,2455,1,West
12,3,0,0,1,1,1,4,2,11,5,1,1,8,1,1,1,0,0,2554,1,West
