@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NextScore numeric
@attribute lastMove {North,South,East,West,Stop}

@data
99999,99999,4,6,-5,-6,East
99999,99999,3,5,-6,-7,East
99999,2,2,4,-7,-8,East
99999,1,1,3,-8,-9,East
99999,99999,0,2,-9,190,East
99999,99999,5,3,190,189,West
99999,99999,4,2,189,188,West
99999,1,3,3,188,187,South
2,0,99999,2,187,386,South
9,7,7,9,386,385,East
99999,6,6,8,385,384,East
99999,5,7,7,384,383,East
99999,6,7,6,383,382,East
8,7,6,7,382,381,South
7,6,99999,6,381,380,South
7,5,99999,5,380,479,South
6,4,99999,4,479,478,West
5,3,5,3,478,477,West
4,2,4,99999,477,476,Stop
4,2,4,99999,476,475,South
3,3,3,1,475,474,South
2,4,4,2,474,473,South
3,99999,5,3,473,472,West
2,99999,4,2,472,471,West
1,99999,3,3,471,470,North
0,2,2,2,470,669,North
99999,10,8,10,669,668,East
99999,9,7,9,668,667,East
8,8,6,8,667,666,East
7,7,5,7,666,665,East
6,6,4,6,665,664,East
99999,5,3,5,664,663,East
99999,99999,2,4,663,662,East
99999,3,1,3,662,661,East
99999,5,5,99999,-1,-2,Stop
99999,6,4,99999,-2,-3,Stop
99999,7,5,99999,-3,-4,East
99999,99999,3,5,-4,-5,East
99999,99999,1,3,-5,-6,East
99999,99999,0,2,-6,193,East
99999,2,0,2,193,392,East
99999,11,11,13,392,391,East
99999,99999,9,11,391,390,East
99999,99999,9,11,390,389,East
99999,99999,7,9,389,388,East
99999,6,8,8,388,387,South
8,6,8,99999,387,386,South
6,4,99999,6,385,384,South
6,4,99999,6,384,483,South
5,3,99999,5,483,482,South
4,2,2,4,482,481,East
99999,2,4,2,481,480,South
2,2,99999,0,480,479,West
2,2,2,0,479,678,West
3,3,3,1,678,677,West
99999,99999,29,30,0,-1,Stop
99999,99999,29,30,-1,98,East
28,99999,30,30,98,197,North
27,29,99999,99999,197,296,North
99999,28,26,99999,296,395,East
99999,99999,25,27,395,494,East
99999,99999,24,26,494,593,East
23,99999,99999,25,593,692,North
22,24,99999,99999,692,791,North
21,23,99999,99999,791,890,North
99999,22,20,22,890,989,East
99999,99999,19,21,989,1088,East
99999,99999,18,20,1088,1187,East
17,19,99999,19,1187,1286,North
16,18,99999,99999,1286,1385,North
15,17,99999,99999,1385,1484,North
14,16,16,14,1484,1583,North
13,15,99999,99999,1583,1682,North
12,14,99999,99999,1682,1781,North
11,13,99999,99999,1781,1880,North
12,12,12,10,1880,1879,West
99999,99999,11,9,1879,1878,West
8,10,10,99999,1878,1877,North
7,9,99999,99999,1877,1876,North
99999,8,99999,6,1876,1875,West
99999,99999,7,5,1875,1874,West
99999,99999,6,4,1874,1873,West
99999,99999,5,3,1873,1872,West
4,99999,4,2,1872,1871,West
99999,1,3,2,1871,1870,South
2,0,99999,1,1870,1869,West
2,0,1,99999,1869,1868,Stop
2,0,1,99999,1868,2067,South
2,99999,0,2,2067,2266,East
4,99999,2,3,2266,2265,East
99999,99999,1,3,2265,2264,East
99999,99999,0,2,2264,2463,East
99999,99999,99999,6,2463,2462,West
99999,99999,7,5,2462,2461,West
99999,99999,6,4,2461,2460,West
5,99999,5,3,2460,2459,West
4,99999,4,2,2459,2458,West
99999,99999,3,1,2458,2457,West
27,99999,29,29,98,197,North
25,27,99999,99999,197,296,North
99999,26,24,99999,296,395,East
99999,99999,22,24,395,494,East
99999,99999,20,22,494,593,East
18,99999,99999,20,593,692,North
16,18,99999,99999,692,791,North
15,17,99999,99999,791,890,North
99999,16,14,16,890,989,East
99999,99999,13,15,989,1088,East
99999,99999,13,15,1088,1187,East
13,15,99999,15,1187,1286,North
13,15,99999,99999,1286,1385,North
12,14,99999,99999,1385,1484,North
10,12,12,10,1484,1583,North
8,10,99999,99999,1583,1682,North
6,8,99999,99999,1682,1781,North
5,7,99999,99999,1781,1880,North
5,5,5,3,1880,1879,West
99999,99999,5,3,1879,1878,West
3,5,5,99999,1878,1877,North
2,4,99999,99999,1877,1876,North
