@relation 'training_tutorial1_score3-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,6'

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}
@attribute NextScore numeric

@data
4,4,2,99999,-6,10,East,-9
4,99999,2,4,-7,9,East,190
2,99999,2,4,-8,8,North,189
2,2,0,2,-9,9,East,188
11,9,9,11,190,8,South,187
9,99999,7,9,189,7,East,186
9,99999,7,9,188,6,East,185
9,99999,7,9,187,5,East,184
7,99999,5,7,186,4,East,183
6,4,6,6,185,3,South,182
5,3,5,99999,184,2,South,381
4,2,4,2,183,3,South,380
2,2,2,0,182,4,West,379
10,12,10,12,381,5,North,378
99999,10,8,10,380,4,East,377
8,8,6,8,379,3,East,376
6,6,4,6,378,2,East,375
6,6,4,6,377,1,East,374
99999,6,4,6,376,2,East,373
99999,99999,3,5,375,3,East,372
99999,3,3,5,374,4,South,371
4,2,2,99999,373,5,South,370
4,99999,2,99999,372,6,East,369
2,99999,2,4,371,7,North,368
3,3,1,3,370,6,East,567
2,2,0,2,369,7,East,566
0,2,2,2,368,8,North,565
99999,8,8,6,567,7,West,564
99999,8,8,6,566,6,West,563
5,7,7,7,565,5,North,562
99999,99999,29,30,0,1,East,297
28,99999,30,30,99,1,North,396
27,29,99999,99999,198,1,North,495
99999,28,26,99999,297,1,East,594
99999,99999,25,27,396,1,East,693
99999,99999,24,26,495,1,East,792
23,99999,99999,25,594,1,North,891
22,24,99999,99999,693,1,North,990
21,23,99999,99999,792,1,North,1089
99999,22,20,22,891,1,East,1188
99999,99999,19,21,990,1,East,1287
99999,99999,18,20,1089,1,East,1386
17,19,99999,19,1188,1,North,1485
16,18,99999,99999,1287,1,North,1584
15,17,99999,99999,1386,1,North,1683
14,16,16,14,1485,1,West,1682
99999,99999,15,13,1584,1,West,1681
12,99999,14,14,1683,1,North,1680
11,13,99999,99999,1682,2,North,1679
10,12,99999,12,1681,2,North,1678
9,11,99999,99999,1680,2,North,1677
8,10,10,99999,1679,2,North,1676
7,9,99999,99999,1678,2,North,1675
99999,8,99999,6,1677,2,West,1674
99999,99999,7,5,1676,3,West,1673
99999,99999,6,4,1675,3,West,1672
99999,99999,5,3,1674,3,West,1671
4,99999,4,2,1673,3,West,1870
99999,1,3,2,1672,4,South,2069
2,0,99999,1,1671,5,South,2068
2,99999,2,0,1870,5,West,2067
4,99999,3,2,2069,5,West,2266
99999,99999,3,1,2068,4,West,2265
99999,99999,2,0,2067,4,West,2264
99999,99999,6,99999,2266,4,East,2263
99999,99999,5,7,2265,4,East,2262
99999,99999,4,6,2264,4,East,2261
5,99999,3,5,2263,5,East,2260
99999,99999,29,30,0,1,East,297
29,99999,31,31,99,1,North,396
27,29,99999,99999,198,1,North,495
99999,27,25,99999,297,1,East,594
99999,99999,23,25,396,1,East,693
99999,99999,23,25,495,1,East,792
21,99999,99999,23,594,1,North,891
21,23,99999,99999,693,1,North,990
19,21,99999,99999,792,1,North,1089
99999,21,19,21,891,1,East,1188
99999,99999,18,20,990,1,East,1287
99999,99999,17,19,1089,1,East,1386
17,19,99999,19,1188,1,North,1485
16,18,99999,99999,1287,1,North,1584
14,16,99999,99999,1386,1,North,1683
14,16,16,14,1485,1,West,1682
99999,99999,16,14,1584,1,West,1681
12,99999,14,14,1683,1,North,1680
12,14,99999,99999,1682,2,North,1679
11,13,99999,13,1681,2,North,1678
10,12,99999,99999,1680,2,North,1677
8,10,10,99999,1679,2,North,1676
7,9,99999,99999,1678,2,North,1675
99999,9,99999,7,1677,2,West,1674
99999,99999,7,5,1676,3,West,1673
99999,99999,6,4,1675,3,West,1672
99999,99999,6,4,1674,3,West,1671
5,99999,5,3,1673,3,West,1870
99999,1,3,1,1672,4,South,2269
2,0,99999,0,1671,5,South,2268
