@relation 'training_tutorial1_score3-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,6'

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute lastMove {North,South,East,West,Stop}
@attribute NextScore numeric

@data
6,4,6,6,196,South,193
5,3,5,5,195,South,192
4,2,4,4,194,South,391
3,1,3,3,193,South,390
2,0,2,2,192,South,389
9,9,9,7,391,West,388
8,8,8,6,390,West,387
7,7,7,5,389,West,386
6,6,6,4,388,West,385
5,5,5,3,387,West,384
4,4,4,2,386,West,583
3,3,3,1,385,West,582
2,2,2,0,384,West,581
7,9,7,9,583,North,580
6,8,6,8,582,North,579
5,7,5,7,581,North,578
99999,6,4,6,580,East,577
3,5,5,5,579,North,576
2,4,2,4,0,North,197
1,3,1,3,-1,North,196
7,6,6,5,198,West,195
5,5,5,3,197,West,194
5,5,5,3,196,West,193
5,3,5,3,195,South,192
5,5,5,3,194,West,191
3,4,5,3,193,North,190
4,4,4,2,192,West,189
3,3,3,1,191,West,388
3,3,3,1,190,West,387
2,2,2,0,189,West,386
9,7,7,9,388,South,385
7,99999,5,7,387,East,384
6,99999,4,6,386,East,383
4,2,2,4,385,South,382
4,2,2,99999,384,South,381
2,4,2,4,383,North,380
4,4,2,99999,382,East,579
3,3,1,3,381,East,578
3,3,1,3,380,East,577
6,4,4,6,579,South,576
4,2,2,4,578,South,575
3,3,1,3,577,East,574
99999,11,11,13,0,South,197
12,10,10,12,-1,East,296
11,9,9,11,98,East,395
10,8,8,10,197,East,494
9,7,7,9,296,South,593
8,6,6,8,395,South,692
7,5,5,7,494,East,791
6,4,4,6,593,East,890
5,3,3,5,692,East,989
4,2,2,4,791,South,1188
3,1,1,3,890,East,1287
2,0,2,2,989,South,1386
7,5,7,5,1188,West,1485
6,4,6,4,1287,South,1484
5,3,5,3,1386,West,1483
4,2,4,4,1485,South,1682
3,1,3,3,1484,South,1781
2,0,2,2,1483,South,1880
18,99999,18,20,1682,East,1979
17,99999,17,19,1781,North,2078
16,18,16,18,1880,East,2177
15,17,15,17,1979,East,2176
14,16,14,16,2078,North,2275
13,15,13,15,2177,North,2374
12,14,12,14,2176,North,2373
11,13,11,13,2275,North,2472
10,12,10,12,2374,North,2571
9,11,9,11,2373,North,2570
8,10,8,10,2472,North,2569
7,9,7,9,2571,North,2568
99999,8,6,8,2570,East,2567
99999,7,5,7,2569,East,2566
99999,6,4,6,2568,East,2665
99999,5,3,5,2567,East,2764
99999,4,2,4,2566,East,2963
99999,3,1,3,2665,East,3062
99999,2,0,2,2764,East,3161
99999,5,5,7,2963,East,3260
99999,4,4,6,3062,South,3359
5,3,3,5,3161,East,3458
99999,11,11,13,0,South,197
11,9,9,11,-1,East,296
11,9,9,11,98,East,395
9,7,7,9,197,East,494
7,5,5,7,296,South,593
5,3,3,5,395,South,892
4,4,2,4,494,East,991
2,2,0,2,593,East,1090
6,4,4,6,892,East,1189
6,4,6,4,991,South,1288
6,4,6,4,1090,South,1587
4,2,4,2,1189,South,1586
2,2,2,0,1288,West,1585
11,13,11,13,1587,North,1584
11,13,11,13,1586,North,1583
11,11,11,13,1585,North,1682
9,11,9,11,1584,North,1781
9,9,7,9,1583,East,1880
7,7,5,7,1682,East,1879
6,6,4,6,1781,East,1878
6,6,4,6,1880,East,1977
6,6,4,6,1879,East,2076
4,4,2,4,1878,East,2175
4,4,2,4,1977,East,2474
2,4,2,4,2076,East,2473
99999,6,6,99999,0,South,-3
7,5,99999,99999,-1,South,-4
6,6,4,99999,-2,East,-5
99999,5,3,5,-3,East,-6
99999,4,2,4,-4,East,193
99999,3,1,3,-5,East,192
2,2,0,2,-6,East,191
3,5,5,5,193,North,190
2,4,99999,4,192,North,389
99999,3,1,3,191,East,388
99999,99999,0,2,190,East,387
99999,99999,10,11,389,East,386
99999,99999,9,11,388,East,385
99999,8,8,10,387,South,384
9,7,7,99999,386,South,383
8,7,6,7,385,East,382
7,99999,5,7,384,East,381
99999,4,4,6,383,South,380
5,3,3,99999,382,South,379
4,99999,2,99999,381,East,578
3,99999,1,3,380,East,577
2,0,2,2,379,South,576
10,8,99999,99999,578,South,575
9,9,9,7,577,West,574
99999,8,8,6,576,West,573
99999,99999,7,5,575,West,572
99999,6,6,4,574,West,571
5,5,5,3,573,West,570
99999,6,6,99999,0,South,-3
7,6,99999,99999,-1,South,-4
6,4,4,99999,-2,South,-5
4,6,4,99999,-3,North,-6
6,4,4,99999,-4,South,-7
6,4,4,99999,-5,South,-8
4,4,2,99999,-6,East,-9
4,99999,2,4,-7,East,190
2,99999,2,4,-8,North,189
2,2,0,2,-9,East,188
11,9,9,11,190,South,187
9,99999,7,9,189,East,186
9,99999,7,9,188,East,185
9,99999,7,9,187,East,184
7,99999,5,7,186,East,183
6,4,6,6,185,South,182
5,3,5,99999,184,South,381
4,2,4,2,183,South,380
2,2,2,0,182,West,379
10,12,10,12,381,North,378
99999,10,8,10,380,East,377
8,8,6,8,379,East,376
6,6,4,6,378,East,375
6,6,4,6,377,East,374
99999,6,4,6,376,East,373
99999,99999,3,5,375,East,372
99999,3,3,5,374,South,371
4,2,2,99999,373,South,370
4,99999,2,99999,372,East,369
2,99999,2,4,371,North,368
3,3,1,3,370,East,567
2,2,0,2,369,East,566
0,2,2,2,368,North,565
99999,8,8,6,567,West,564
99999,8,8,6,566,West,563
5,7,7,7,565,North,562
99999,99999,29,30,0,East,297
28,99999,30,30,99,North,396
27,29,99999,99999,198,North,495
99999,28,26,99999,297,East,594
99999,99999,25,27,396,East,693
99999,99999,24,26,495,East,792
23,99999,99999,25,594,North,891
22,24,99999,99999,693,North,990
21,23,99999,99999,792,North,1089
99999,22,20,22,891,East,1188
99999,99999,19,21,990,East,1287
99999,99999,18,20,1089,East,1386
17,19,99999,19,1188,North,1485
16,18,99999,99999,1287,North,1584
15,17,99999,99999,1386,North,1683
14,16,16,14,1485,West,1682
99999,99999,15,13,1584,West,1681
12,99999,14,14,1683,North,1680
11,13,99999,99999,1682,North,1679
10,12,99999,12,1681,North,1678
9,11,99999,99999,1680,North,1677
8,10,10,99999,1679,North,1676
7,9,99999,99999,1678,North,1675
99999,8,99999,6,1677,West,1674
99999,99999,7,5,1676,West,1673
99999,99999,6,4,1675,West,1672
99999,99999,5,3,1674,West,1671
4,99999,4,2,1673,West,1870
99999,1,3,2,1672,South,2069
2,0,99999,1,1671,South,2068
2,99999,2,0,1870,West,2067
4,99999,3,2,2069,West,2266
99999,99999,3,1,2068,West,2265
99999,99999,2,0,2067,West,2264
99999,99999,6,99999,2266,East,2263
99999,99999,5,7,2265,East,2262
99999,99999,4,6,2264,East,2261
5,99999,3,5,2263,East,2260
99999,99999,29,30,0,East,297
29,99999,31,31,99,North,396
27,29,99999,99999,198,North,495
99999,27,25,99999,297,East,594
99999,99999,23,25,396,East,693
99999,99999,23,25,495,East,792
21,99999,99999,23,594,North,891
21,23,99999,99999,693,North,990
19,21,99999,99999,792,North,1089
99999,21,19,21,891,East,1188
99999,99999,18,20,990,East,1287
99999,99999,17,19,1089,East,1386
17,19,99999,19,1188,North,1485
16,18,99999,99999,1287,North,1584
14,16,99999,99999,1386,North,1683
14,16,16,14,1485,West,1682
99999,99999,16,14,1584,West,1681
12,99999,14,14,1683,North,1680
12,14,99999,99999,1682,North,1679
11,13,99999,13,1681,North,1678
10,12,99999,99999,1680,North,1677
8,10,10,99999,1679,North,1676
7,9,99999,99999,1678,North,1675
99999,9,99999,7,1677,West,1674
99999,99999,7,5,1676,West,1673
99999,99999,6,4,1675,West,1672
99999,99999,6,4,1674,West,1671
5,99999,5,3,1673,West,1870
99999,1,3,1,1672,South,2269
2,0,99999,0,1671,South,2268
