@relation 'training_tutorial1-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,6'

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute lastMove {North,South,East,West,Stop}
@attribute NextScore numeric

@data
99999,99999,3,1,2068,West,2067
4,99999,3,2,2069,West,2068
2,99999,2,0,1870,West,2069
5,3,3,5,1971,East,2070
2,0,99999,2,1871,South,2070
15,17,15,17,1979,East,2078
5,3,3,5,2070,East,2169
13,15,13,15,2177,North,2176
14,16,14,16,2078,North,2177
99999,99999,1,3,2261,East,2260
4,99999,2,4,2262,East,2261
5,99999,3,5,2263,East,2262
99999,99999,4,6,2264,East,2263
99999,99999,5,7,2265,East,2264
99999,99999,6,99999,2266,East,2265
99999,99999,3,1,2266,West,2265
99999,99999,2,0,2067,West,2266
3,99999,3,1,2267,West,2266
5,99999,5,3,2268,West,2267
4,2,2,4,2169,East,2268
99999,99999,5,3,2269,West,2268
3,99999,1,2,2070,East,2269
12,14,12,14,2176,North,2275
4,2,4,2,2268,South,2367
10,12,10,12,2374,North,2373
11,13,11,13,2275,North,2374
9,11,9,11,2373,North,2472
99999,5,3,5,2567,East,2566
99999,6,4,6,2568,East,2567
99999,7,5,7,2569,East,2568
99999,8,6,8,2570,East,2569
7,9,7,9,2571,North,2570
8,10,8,10,2472,North,2571
99999,4,2,4,2566,East,2665
2,0,2,2,2367,South,2666
99999,3,1,3,2665,East,2764
8,10,8,10,2666,East,2765
7,9,7,9,2765,East,2864
5,7,7,7,2963,North,2962
99999,2,0,2,2764,East,2963
7,9,7,9,2864,North,2963
5,7,7,5,2962,North,3061
99999,5,5,7,2963,East,3062
3,5,3,5,3160,North,3159
3,5,5,5,3061,North,3160
99999,4,4,6,3062,South,3161
2,4,2,4,3159,North,3258
5,3,3,5,3161,East,3260
4,2,2,4,3260,East,3359
3,1,3,3,3359,South,3458
